iter	Passed	Remaining
0	0	86
1	1	81
2	2	81
3	3	74
4	4	77
5	4	77
6	5	76
7	6	77
8	7	77
9	8	76
10	9	75
11	10	74
12	10	73
13	11	72
14	12	71
15	13	70
16	14	69
17	15	68
18	15	68
19	16	67
20	17	66
21	18	65
22	19	65
23	20	63
24	21	63
25	21	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	32	52
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	32
61	52	31
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	61	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
